methods,tests,mutants,detected_mutants
Angle.getTurn,36,22,0
ArithmeticUtilsNew.subAndCheck,45,41,8
BooleanUtils.compare,23,13,0
BooleanUtils.toBoolean,31,18,16
Composite.addChild,923,35,27
DoublyLinkedListNode.insertRight,145,18,7
DoublyLinkedListNode.remove,99,18,8
Envelope.maxExtent,86,56,33
FastMathNew.floor,50,42,14
IntMath.mod,51,21,13
ListComp02.insert_r,263,20,2
ListComp02.insert_s,257,20,17
Map.count,129,63,3
Map.extend,218,63,13
Map.remove,206,63,2
MathUtil.clamp,50,11,0
MathUtilsNew.copySignInt,36,49,1
MaxBag.add,329,748,658
MaxBag.getMax,0,749,0
MaxBag.remove,237,748,649
MinFinder.findMin,99,69,9
Polyupdate.a1,74,54,31
Polyupdate.sm,43,56,13
QueueAr.dequeue,383,69,30
QueueAr.dequeueAll,192,67,30
QueueAr.enqueue,283,67,23
QueueAr.getFront,155,67,16
QueueAr.makeEmpty,192,67,23
RingBuffer.count,164,101,33
RingBuffer.extend,193,101,16
RingBuffer.item,165,101,10
RingBuffer.remove,166,101,15
RingBuffer.wipeOut,145,101,12
SimpleMethods.abs,31,20,16
SimpleMethods.addElementToSet,30,3,0
SimpleMethods.getMin,45,7,5
SimpleMethods.incrementNumberAtIndex,153,22,7
StackAr.makeEmpty,115,47,0
StackAr.pop,138,48,7
StackAr.push,142,48,11
StackAr.top,303,48,21
StackAr.topAndPop,157,49,17
Structure.foo,21,27,12
Structure.setX,43,26,9
