mutant_id,mutation,failing_test
1,LVR,0
2,LVR,0
3,ROR,0
4,ROR,0
5,ROR,0
6,LVR,0
7,LVR,0
8,AOR,0
9,AOR,0
10,AOR,0
11,AOR,0
12,STD,0
13,STD,0
14,LVR,51
15,LVR,15
16,STD,51
17,LVR,21
18,LVR,12
19,STD,21
20,STD,0
21,COR,0
22,COR,0
23,EVR,0
24,LVR,
25,EVR,0
26,ROR,0
27,ROR,0
28,ROR,0
29,AOR,0
30,AOR,0
31,AOR,0
32,AOR,0
33,LVR,0
34,LVR,0
35,AOR,0
36,AOR,0
37,AOR,0
38,AOR,0
39,AOR,0
40,AOR,0
41,AOR,0
42,AOR,0
43,AOR,0
44,AOR,0
45,AOR,0
46,AOR,0
47,EVR,0
48,LVR,0
49,LVR,0
50,AOR,0
51,AOR,0
52,AOR,0
53,AOR,0
54,EVR,0
55,ROR,0
56,ROR,0
57,ROR,0
58,LVR,0
59,LVR,0
60,ROR,0
61,ROR,0
62,ROR,0
63,ROR,0
64,ROR,0
65,ROR,0
66,LVR,0
67,LVR,0
68,AOR,0
69,AOR,0
70,AOR,0
71,AOR,0
72,ROR,0
73,ROR,0
74,ROR,0
75,EVR,0
76,COR,0
77,COR,0
78,STD,0
79,ROR,0
80,ROR,0
81,ROR,0
82,LVR,0
83,LVR,0
84,STD,0
85,LVR,0
86,LVR,18
87,AOR,12
88,AOR,0
89,AOR,18
90,AOR,0
91,STD,0
92,COR,0
93,COR,0
94,ROR,0
95,ROR,0
96,ROR,0
97,LVR,0
98,LVR,0
99,STD,0
100,STD,0
101,STD,9
